station_name,adress,lat_utm,long_utm,zone
Guaratinguetá,"Avenida Doutor Ariberto Pereira da Cunha, 333, Portal das Colinas, Guaratinguetá",7478395,480385,23k
Jacareí,"Avenida Nove de Julho, 745, Jd Pereira do Amparo, Jacareí",7423581,400987,23k
S.José dos Campos,"Rua Ana Gonçalves da Cunha, 40, Obra Social Celio Lemos, Monte Castelo, São José dos Campos",7435414,410840,23k
S.José dos Campos-Jd.Satélite,"Rua Cefeu, 664, Centro Poliesportivo ""João do Pulo"", Jd Satélite, São José dos Campos",7431443,408858,23k
S.José dos Campos-Vista Verde,"Rua Estados Unidos, 435, EMEF PROF. WALDEMAR RAMOS, Cid Vista Verde, São José dos Campos",7435902,414962,23k
Taubaté,"Rua Espanha, 386, Jd das Nações, Taubaté",7452783,441004,23k
Ribeirão Preto,"Rua General Câmara, 157, E.E. Edgardo Cajado, Ipiranga, Ribeirão Preto",7658197,206253,23k
Ribeirão Preto-Centro,"Travessa Felipe Camarão, 234, Vila Virgínia, Ribeirão Preto",7655653,207285,23k
Americana,"Rua Suécia, 465, Esquina com Avenida Europa, Vila Santa Maria, Americana",7485109,259708,23k
Campinas-Centro,"Avenida Anchieta, 42, E.E. Carlos Gomes, Centro, Campinas",7465796,288991,23k
Campinas-Taquaral,"Avenida Doutor Heitor Penteado, S/N, Portão 5, Jd N S Auxiliadora, Campinas",7468884,288767,23k
Campinas-V.União,"Rua Graciliano Ramos, Alt97, Prq Res Vl União, Campinas",7460810,282693,23k
Jundiaí,"Avenida Amadeu Ribeiro, 500, Anhangabaú, Jundiaí",7433959,305834,23k
Limeira,"Rua João Kuhl Filho, s/nº, Parque Cidade de Limeira, esquina com a Rua João Jacon, Vila São João, Limeira",7502780,251737,23k
Paulínia,"Praça Oadil Pietrobom, s/nº, Vila Bressani, Paulínia",7480073,278763,23k
Paulínia-Sul,"Rua Angelo Pigatto Ferro, s/nº, Santa Terezinha, Paulínia",7478496,280664,23k
Piracicaba,"Avenida Monsenhor Martinho Salgot, 560, Vila Areão, Piracicaba",7487124,227797,23k
Santa Gertrudes,"Rua Nossa Senhora Aparecida, 320, Jardim Luciana, Santa Gertrudes",7514053,238993,23k
Cambuci,"Avenida Dom Pedro I, 100, IV COMAR, Vila Monumento, São Paulo",7392707,335456,23k
Capão Redondo,"Estrada de Itapecerica, 5859, no interior do Instituto Adventista de Ensino - UNASP, Capão Redondo, São Paulo",7381358,318469,23k
Carapicuíba,"Avenida Inocêncio Seráfico, 1051, esquina com Rua São Miguel, Centro, Carapicuíba",7396454,312589,23k
Centro,"Rua da Consolação, 94, Bibliot. Mun. Mário de Andrade, Consolação, São Paulo",7394876,332354,23k
Cerqueira César,"Avenida Doutor Arnaldo, 725, Faculdade de Saúde Pública, Sumaré, São Paulo",7394205,329269,23k
Cid.Universitária-USP-Ipen,"Avenida Professor Lineu Prestes, 2242, Cidade Universitária, Butantã, São Paulo",7392709,322680,23k
Congonhas,"Alameda dos Tupiniquins, 1571, E.M.Prof.J.C. da Silva Borges, Planalto Paulista, São Paulo",7387264,330293,23K
Diadema,"Rua Benjamin Constant, 3, Prefeitura Mun de Diadema, Vila Diadema, Diadema",7379622,335670,23k
Grajau-Parelheiros,"Avenida Paulo Guilguer Reimberg, 2448, E.E. Pres. Tancredo A. Neves, Jd Novo Horizonte, São Paulo",7369511,327086,23k
Guarulhos,"Rua Professora Maria Del Pilar Munhoz Bononato, s/nº, E.E. Francisco Antunes Filho, Prq Cecap, Guarulhos",7404407,347182,23k
Guarulhos-Paço Municipal,"Avenida João Bernardo Medeiros, 173, Jd Bom Clima, Guarulhos",7405233,344893,23k
