"","station_name","lon","lat"
"1","Guaratinguetá",-45.1911223603662,-22.8019171385919
"2","Jacareí",-45.9682338642509,-23.2941992435412
"3","S.José dos Campos",-45.8711976230777,-23.1878873302518
"4","S.José dos Campos-Jd.Satélite",-45.8907999962971,-23.2236454817019
"5","S.José dos Campos-Vista Verde",-45.830896984633,-23.1836973451392
"6","Taubaté",-45.5758050249834,-23.0323509589424
"7","Ribeirão Preto",-47.8284805266342,-21.1539418919643
"8","Ribeirão Preto-Centro",-47.8189876708673,-21.1770659423705
"9","Americana",-47.3395492909767,-22.7242526995051
"10","Campinas-Centro",-47.0572107427756,-22.9025248038629
"11","Campinas-Taquaral",-47.0589727566863,-22.8746189449535
"12","Campinas-V.União",-47.1192808618657,-22.9467284160839
"13","Jundiaí",-46.8970972725397,-23.1920037430385
"14","Limeira",-47.4143140341802,-22.5636037767438
"15","Paulínia",-47.1548428657311,-22.772321379336
"16","Paulínia-Sul",-47.1365588816337,-22.7868064343782
"17","Piracicaba",-47.6496526898804,-22.7012223402721
"18","Santa Gertrudes",-47.5362983395041,-22.4599552691666
"19","Cambuci",-46.6122728561363,-23.5677084050659
"20","Capão Redondo",-46.7800433836776,-23.6683561456714
"21","Carapicuíba",-46.835779727665,-23.5313950283073
"22","Centro",-46.6424144996327,-23.5478061597035
"23","Cerqueira César",-46.6727047692536,-23.5535425616774
"24","Cid.Universitária-USP-Ipen",-46.7374142819527,-23.5663417755288
"25","Congonhas",-46.6634655273708,-23.6163200788179
"26","Diadema",-46.6116219323756,-23.6858764117134
"27","Grajau-Parelheiros",-46.6969610783663,-23.7762659843987
"28","Guarulhos",-46.4962135994368,-23.4632093829647
"29","Guarulhos-Paço Municipal",-46.5185334030578,-23.4555342581021
"30","Guarulhos-Pimentas",-46.4099487710008,-23.440117007809
"31","Ibirapuera",-46.6606875025424,-23.5918419901377
"32","Interlagos",-46.6750431583088,-23.6805076511496
"33","Itaim Paulista",-46.4207368394926,-23.5015473609701
"34","Itaquera",-46.4666514114581,-23.5800148313618
"35","Lapa",-46.7015816399056,-23.5093971002159
"36","Marg.Tietê-Pte Remédios",-46.7433200408475,-23.5187058310119
"37","Mauá",-46.4660002742072,-23.668548999782
"38","Mogi das Cruzes",-46.1868605711068,-23.5181722301479
"39","Mooca",-46.6004166453374,-23.5497340450692
"40","N.Senhora do Ó",-46.6920519221295,-23.4800987059501
"41","Osasco",-46.7920776611909,-23.5267214190033
"42","Parque D.Pedro II",-46.6276755923672,-23.5448456586806
"43","Pico do Jaraguá",-46.7660977590067,-23.4562688997473
"44","Pinheiros",-46.702016508477,-23.5614598947308
"45","S.André-Capuava",-46.4916367657886,-23.6398036991567
"46","S.André-Centro",-46.5363346692652,-23.6456163828537
"47","S.André-Paço Municipal",-46.5309187564735,-23.6569941995446
"48","S.Bernardo-Centro",-46.546232186719,-23.698671086452
"49","S.Bernardo-Paulicéia",-46.5846678858862,-23.671353957107
"50","S.Miguel Paulista",-46.4448027795291,-23.4985264108006
"51","Santana",-46.6289602999867,-23.5059927222473
"52","Santo Amaro",-46.7099983817609,-23.6549772296111
"53","São Caetano do Sul",-46.5563539375082,-23.6184427729693
"54","Taboão da Serra",-46.7582943678205,-23.6093238641748
"55","Cubatão-Centro",-46.4184833618962,-23.8790267306875
"56","Cubatão-V.Parisi",-46.388676243143,-23.8494161699589
"57","Cubatão-Vale do Mogi",-46.3695687908741,-23.8315890081252
"58","Santos",-46.3211700936541,-23.9630572042474
"59","Santos-Ponta da Praia",-46.3005095935414,-23.9812951573643
"60","Pirassununga",-47.4275644904704,-22.0077128811552
"61","Sorocaba",-47.4790299116324,-23.5024265843041
"62","Tatuí",-47.8707990664854,-23.3607515378509
"110","Araraquara",-48.1858318132095,-21.7825221457409
"210","Bauru",-49.0927593053896,-22.3266083965866
"310","Jaú",-48.5674574047954,-22.2986196635229
"410","Catanduva",-48.9830752705583,-21.1419427576008
"510","São José Do Rio Preto",-49.398277792872,-20.78468928393
"63","Araçatuba",-50.4393168498844,-21.1868410998752
"71","Marília",-49.9599697461498,-22.1998094871228
"81","Presidente Prudente",-51.4087770680215,-22.1199367347658
